OBJECTID,Tents,Density,Date,Camps,Shape_Length,Shape_Area
1,20,0.021080915,5/21/2021,8th & Main,257.2328781,948.725414
2,54,0.011993422,5/21/2021,Roadhome 1,448.9690107,4502.468261
3,86,0.011221282,5/21/2021,Roadhome 2,1294.910332,7664.008747
4,17,0.013165549,5/21/2021,Train Tracks,202.3336549,1291.248885
5,32,0.058825776,5/21/2021,500 Underpass,93.94534357,543.9792268
6,25,0.005917104,5/21/2021,Beck Street,253.1517612,4225.039602
7,5,0.009057084,5/21/2021,800W South Temple,128.7878022,552.054054
8,5,0.017297174,5/21/2021,700 Underpass,81.99879321,289.0645619
9,2,0.022886718,5/21/2021,Lowes,37.68015921,87.38692815
10,5,0.032996948,5/21/2021,700W & Tracks,56.82151799,151.5291657
12,16,0.017792309,5/21/2021,Redwood and North Temple,175.4728463,899.264978
14,9,0.05018087,5/21/2021,600 S 200 W,87.52404384,179.3512138
15,25,0.039652272,5/21/2021,400S 500W,261.7655751,630.4808913
16,10,0.041799548,5/21/2021,Train Tracks 3,66.3242979,239.2370364
17,5,0.004737419,5/21/2021,Genesee,134.9686416,1055.42693
18,2,0.031685605,5/21/2021,KOA,31.80349493,63.12014546
19,2,0.00826505,5/21/2021,Big Lots,81.86373053,241.9827999
20,2,0.029128428,5/21/2021,600 S 500 W,37.81893999,68.66144745
21,4,0.007852882,5/21/2021,Smiths 500S,156.0381947,509.3671215
22,3,0.025292566,5/21/2021,North Temple 2,69.75669917,118.6119291
23,3,0.034192488,5/21/2021,600W South Temple,40.40896271,87.73856946
24,2,0.05049603,5/21/2021,Train Tracks 2,25.28792421,39.60707372
